total_income_lower_bound,total_income_upper_bound,employment_income_count,employment_income_amount,self_employment_income_count,self_employment_income_amount,state_pension_count,state_pension_amount,private_pension_income_count,private_pension_income_amount,property_income_count,property_income_amount,savings_interest_income_count,savings_interest_income_amount,dividend_income_count,dividend_income_amount,year
30000,40000.0,5647922,171143600713,779962,16624354851,1315160,16645151834,1546958,30582606095,390418,4664022006,2219894,482176525,669779,5929346090,2025
40000,50000.0,3934646,157158903741,439525,12395050887,620689,7760893290,806552,20606229440,303104,4179167617,1510217,366118786,582376,7675351842,2025
50000,70000.0,3671529,182822780485,393018,12219483438,490784,6142528842,694332,21835031578,442584,6763455075,1589617,461844071,806153,19186649128,2025
70000,100000.0,1899912,135434403223,173116,7474939194,201154,2529853014,287701,12365283613,248359,4953264063,753133,300700046,360245,11683965831,2025
100000,150000.0,979383,100335533705,96760,6165403881,79730,1033748119,113892,6683888427,153787,3447777837,381372,230334975,250211,10722457328,2025
150000,200000.0,273418,41252853110,44425,4247215925,19764,273331393,29302,2208024937,55501,1318172084,102156,102129091,98364,3713878618,2025
200000,300000.0,199891,40283209266,39127,5776288282,15919,294767447,20817,1828740697,43519,1278760742,89232,119757299,82376,5263725031,2025
300000,500000.0,106487,33164209023,23341,5738915302,8618,208972717,11131,1386264892,24591,1093724569,55350,118095641,49147,4346410755,2025
500000,1000000.0,51274,26547428136,14926,6938820193,4886,105852482,4906,765803956,13062,576174766,33775,130803986,34241,5792578949,2025
1000000,inf,26864,50644887128,12613,27021501681,1844,24614709,2074,373252939,8546,579418267,19187,276368912,20632,19789092756,2025
12570,inf,26370022,1133164590419,3716570,130000958647,7169895,89720421646,8514422,150186199003,2347129,35275492101,11686779,3410243344,3981047,98389810267,2025
12570,15000.0,284401,4003725725,17732,147078443,74923,957123578,60306,172132464,6604,46028865,101103,9244587,9311,15965643,2026
15000,20000.0,2345431,36962242079,636642,8335236226,1588079,19960655075,1800032,12854418041,203802,1844088763,1440144,187088952,232587,689039295,2026
20000,30000.0,6454559,144192679119,950130,15889059441,2584328,33206640892,2898235,36072630396,411206,4266507687,3142405,598498547,713869,3235052416,2026
30000,40000.0,5865632,178418051066,807993,17524784854,1371469,17854558698,1642304,32840548892,389091,4817007673,2281036,506808784,663984,5781178872,2026
40000,50000.0,4022262,161997848269,448463,12705589813,677493,8689817475,873563,22644657779,299408,4156841468,1572801,389404670,577926,7215036289,2026
50000,70000.0,3698018,186591828331,430830,14058712441,534362,6873284739,745781,23880808783,439976,6938840004,1640515,495656920,784042,17059739216,2026
70000,100000.0,2047654,141923191246,194535,8284719831,224621,2898156689,322403,13981337392,286911,5808618841,816189,339447195,443917,15677599277,2026
100000,150000.0,1048299,107045075157,102029,6554381944,89675,1187900462,128334,7677174131,163385,3794166555,418397,250145698,268543,12047927482,2026
150000,200000.0,285262,43112513157,45828,4326447835,22323,313750528,32581,2533732358,58802,1437466364,105241,108378597,102973,3925199748,2026
